ID,Employee_ID,Destination,Purpose,DepartureDate,ReturnDate,EstimatedBudget,ActualBudget,Status,Approver_ID,createdAt,createdBy,modifiedAt,modifiedBy
a1c2d3e4-f5a6-4a11-b222-111111111111,c7d2e4f5-1a93-45c8-bf27-2e6a4b7d2002,Bangalore,Client Meeting,2026-06-01,2026-06-03,25000.00,23000.00,Approved,f3a9c1d2-7b84-4f11-92d1-1a5f9c3e1001,2026-05-01T09:00:00Z,system,2026-05-02T09:00:00Z,manager
b2d3e4f5-a6b1-4b22-c333-222222222222,b8e4a7d1-9c23-4e6f-a112-7d5a1f2c3003,Delhi,Tech Conference,2026-06-10,2026-06-15,50000.00,48000.00,Approved,f3a9c1d2-7b84-4f11-92d1-1a5f9c3e1001,2026-05-03T08:00:00Z,system,2026-05-04T08:00:00Z,manager
c3e4f5a6-b1c2-4c33-d444-333333333333,a4f6b8c9-2d34-4a5f-8c91-3f7e2a1d4004,Mumbai,Audit Review,2026-05-20,2026-05-22,18000.00,17500.00,Pending,,2026-05-10T10:00:00Z,system,2026-05-10T10:00:00Z,system
d4f5a6b1-c2d3-4d44-e555-444444444444,d5c7e9f1-3b45-4d6e-9f22-4a8c3b2e5005,Hyderabad,Marketing Event,2026-07-01,2026-07-05,42000.00,39800.00,Pending,,2026-05-08T07:00:00Z,system,2026-05-08T07:00:00Z,system
e5a6b1c2-d3e4-4e55-f666-555555555555,e6d8f1a2-4c56-4e7f-a833-5b9d4c3f6006,Pune,Operations Review,2026-06-18,2026-06-20,21000.00,20000.00,Approved,d5c7e9f1-3b45-4d6e-9f22-4a8c3b2e5005,2026-05-06T08:00:00Z,system,2026-05-07T08:00:00Z,manager
f6b1c2d3-e4f5-4f66-a777-666666666666,f7e9a2b3-5d67-4f8a-b944-6cad5d4e7007,Kolkata,QA Audit,2026-05-28,2026-05-30,16000.00,15400.00,Rejected,b8e4a7d1-9c23-4e6f-a112-7d5a1f2c3003,2026-05-07T09:00:00Z,system,2026-05-08T11:00:00Z,manager
a7c2d3e4-f5a6-4a77-b888-777777777777,a8f1b3c4-6e78-409b-c155-7dbe6e5f8008,Chennai,Security Workshop,2026-06-12,2026-06-14,22000.00,21450.00,Pending,,2026-05-09T06:00:00Z,system,2026-05-09T06:00:00Z,system
b8d3e4f5-a6b1-4b88-c999-888888888888,b9a2c4d5-7f89-41ac-d266-8ecf7f6a9009,Cochin,Product Launch,2026-08-05,2026-08-08,37000.00,36200.00,Pending,,2026-05-11T09:00:00Z,system,2026-05-11T09:00:00Z,system
c9e4f5a6-b1c2-4c99-daaa-999999999999,cad3d5e6-8a90-42bd-e377-9fd08a7b1010,Goa,Sales Summit,2026-07-15,2026-07-18,45000.00,43000.00,Completed,d5c7e9f1-3b45-4d6e-9f22-4a8c3b2e5005,2026-05-12T08:00:00Z,system,2026-05-13T08:00:00Z,manager
d1f5a6b1-c2d3-4daa-ebbb-aaaaaaaaaaaa,c7d2e4f5-1a93-45c8-bf27-2e6a4b7d2002,Jaipur,Vendor Meeting,2026-06-25,2026-06-27,28000.00,26900.00,Pending,,2026-05-13T07:00:00Z,system,2026-05-13T07:00:00Z,system
e2a6b1c2-d3e4-4ebb-fccc-bbbbbbbbbbbb,dae4e6f7-9b01-43ce-f488-af219a8c1111,Ahmedabad,Engineering Workshop,2026-09-10,2026-09-13,39000.00,38150.00,Pending,,2026-05-15T08:30:00Z,system,2026-05-15T08:30:00Z,system
f3b1c2d3-e4f5-4fcc-addd-cccccccccccc,ebf5f7a8-ac12-44df-a599-ba320a9d1212,Noida,Customer Support Training,2026-06-05,2026-06-07,17000.00,16500.00,Approved,d5c7e9f1-3b45-4d6e-9f22-4a8c3b2e5005,2026-05-14T09:00:00Z,system,2026-05-15T10:00:00Z,manager
b5d1e2f3-a4b5-4bee-cfff-eeeeeeeeeeee,0d17b9c0-ce34-46fa-a711-da542a1f1414,Bhubaneswar,Legal Compliance Audit,2026-07-08,2026-07-10,24000.00,22500.00,Completed,b8e4a7d1-9c23-4e6f-a112-7d5a1f2c3003,2026-05-17T08:00:00Z,system,2026-05-18T09:00:00Z,manager
b5d1e2f3-b4c5-4cff-d111-ffffffffffff,1e28cad1-df45-47aa-a822-ea653a2f1515,Dubai,Supply Chain Expo,2026-11-15,2026-11-20,210000.00,205500.00,Pending,,2026-05-18T10:00:00Z,system,2026-05-18T10:00:00Z,system
b5d1e2f3-b4c5-4cff-d111-fffffffffff1,1e28cad1-df45-47aa-a822-ea653a2f1516,Dubai,Supply Chain Expo,2026-11-15,2026-11-20,210000.00,205500.00,Pending,,2026-05-18T10:00:00Z,1e28cad1-df45-47aa-a822-ea653a2f1516,2026-05-18T10:00:00Z,system